Estado ,"(0,1)","(1,4)","(5,9)","(10,14)","(15,19)","(20,24)","(25,44)","(45,49)","(50,59)","(60,64)","(64,++)",Ign. ,Total
Aguascalientes ,4,85,103,189,110,75,229,37,67,23,83,0, 1 005
Baja California ,0,4,3,7,6,3,21,1,2,0,0,0,47
Baja California Sur ,0,7,5,8,9,6,12,1,6,2,4,0,60
Campeche ,0,0,0,1,1,1,4,0,0,0,0,0,7
Coahuila ,0,0,10,4,6,6,26,2,5,3,2,0,64
Colima ,27,333,408,646,681,624, 1 673 ,245,377,164,298,19, 5 495
Chiapas ,1,9,10,9,16,4,21,6,9,5,6,0,96
Chihuahua ,3,29,30,13,11,13,32,10,10,3,11,0,165
Distrito Federal ,3,21,17,30,13,20,57,9,17,4,6,0,197
Durango ,20,226,341,416,384,282,748,133,166,75,151,0, 2 942
Guanajuato ,91, 1 346 , 1 823 , 2 157 , 1 786 , 1 519 , 3 712 ,498,782,332,762,2, 14 810
Guerrero ,197, 2 200 , 2 853 , 3 110 , 2 581 , 1 685 , 4 218 ,795, 1 275 ,580, 1 365 ,11, 20 870
Hidalgo ,0,9,16,7,11,6,36,7,14,5,8,0,119
Jalisco ,241, 2 640 , 3 283 , 4 052 , 3 609 , 2 774 , 7 532 , 1 261 , 1 932 ,865, 1 952 ,53, 30 194
Mexico ,40,420,525,594,434,238,577,125,142,79,144,1, 3 319
Michoacan ,139, 1 658 , 2 060 , 2 356 , 2 086 , 1 373 , 3 317 ,640,874,379,888,11, 15 781
Morelos ,81, 1 495 , 1 886 , 2 193 , 1 838 , 1 379 , 3 625 ,844, 1 109 ,551, 1 040 ,23, 16 064
Nayarit ,62,557,743,983,936,756, 2 043 ,353,569,269,512,3, 7 786
Nuevo Leon ,1,4,5,7,10,13,23,5,3,1,3,0,75
Oaxaca ,20,238,259,340,231,132,383,96,146,75,227,5, 2 152
Puebla ,39,713,918, 1 264 , 1 087 ,659, 1 572 ,439,602,278,672,6, 8 249
Queretaro ,25,174,196,194,230,194,653,80,96,37,60,0, 1 939
Quintana Roo ,2,5,5,2,7,6,29,2,5,2,1,0,66
San Luis Potosi,3,15,12,18,19,10,48,7,14,10,7,1,164
Sinaloa ,25,306,389,444,376,296,766,167,243,114,274,2, 3 402
Sonora ,30,340,318,259,180,151,366,64,84,31,71,1, 1 895
Tabasco ,0,1,0,2,0,1,4,0,0,0,0,0,8
Tamaulipas ,0,19,15,14,15,11,46,8,11,0,3,0,142
Tlaxcala ,0,2,2,3,3,2,3,1,0,0,0,0,16
Veracruz ,2,15,8,11,11,8,25,3,3,2,8,1,97
Yucatan ,0,2,4,3,3,2,6,1,0,0,5,0,26
Zacatecas ,8,181,259,239,212,165,425,81,94,58,168,4, 1 894
